PA,SZ,AG,Population,Year
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,0_to_4,170.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,5_to_9,240.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,10_to_14,280.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,15_to_19,320.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,20_to_24,270.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,25_to_29,280.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,30_to_34,290.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,35_to_39,330.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,40_to_44,400.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,45_to_49,470.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,50_to_54,370.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,55_to_59,320.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,60_to_64,300.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,65_to_69,250.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,70_to_74,230.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,75_to_79,140.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,80_to_84,100.0,2018
Ang Mo Kio Town Centre,Ang Mo Kio Town Centre,85_and_over,60.0,2018
Cheng San,Cheng San,0_to_4,1060.0,2018
Cheng San,Cheng San,5_to_9,1040.0,2018
Cheng San,Cheng San,10_to_14,1040.0,2018
Cheng San,Cheng San,15_to_19,1160.0,2018
Cheng San,Cheng San,20_to_24,1330.0,2018
Cheng San,Cheng San,25_to_29,1710.0,2018
Cheng San,Cheng San,30_to_34,2000.0,2018
Cheng San,Cheng San,35_to_39,2150.0,2018
Cheng San,Cheng San,40_to_44,2070.0,2018
Cheng San,Cheng San,45_to_49,2200.0,2018
Cheng San,Cheng San,50_to_54,2050.0,2018
Cheng San,Cheng San,55_to_59,2120.0,2018
Cheng San,Cheng San,60_to_64,2120.0,2018
Cheng San,Cheng San,65_to_69,2170.0,2018
Cheng San,Cheng San,70_to_74,1730.0,2018
Cheng San,Cheng San,75_to_79,960.0,2018
Cheng San,Cheng San,80_to_84,640.0,2018
Cheng San,Cheng San,85_and_over,530.0,2018
Chong Boon,Chong Boon,0_to_4,860.0,2018
Chong Boon,Chong Boon,5_to_9,840.0,2018
Chong Boon,Chong Boon,10_to_14,1010.0,2018
Chong Boon,Chong Boon,15_to_19,1060.0,2018
Chong Boon,Chong Boon,20_to_24,1310.0,2018
Chong Boon,Chong Boon,25_to_29,1610.0,2018
Chong Boon,Chong Boon,30_to_34,1890.0,2018
Chong Boon,Chong Boon,35_to_39,1730.0,2018
Chong Boon,Chong Boon,40_to_44,1800.0,2018
Chong Boon,Chong Boon,45_to_49,1820.0,2018
Chong Boon,Chong Boon,50_to_54,1900.0,2018
Chong Boon,Chong Boon,55_to_59,2090.0,2018
Chong Boon,Chong Boon,60_to_64,2140.0,2018
Chong Boon,Chong Boon,65_to_69,2100.0,2018
Chong Boon,Chong Boon,70_to_74,1800.0,2018
Chong Boon,Chong Boon,75_to_79,1130.0,2018
Chong Boon,Chong Boon,80_to_84,780.0,2018
Chong Boon,Chong Boon,85_and_over,630.0,2018
Kebun Bahru,Kebun Bahru,0_to_4,660.0,2018
Kebun Bahru,Kebun Bahru,5_to_9,810.0,2018
Kebun Bahru,Kebun Bahru,10_to_14,950.0,2018
Kebun Bahru,Kebun Bahru,15_to_19,1010.0,2018
Kebun Bahru,Kebun Bahru,20_to_24,1170.0,2018
Kebun Bahru,Kebun Bahru,25_to_29,1420.0,2018
Kebun Bahru,Kebun Bahru,30_to_34,1410.0,2018
Kebun Bahru,Kebun Bahru,35_to_39,1450.0,2018
Kebun Bahru,Kebun Bahru,40_to_44,1620.0,2018
Kebun Bahru,Kebun Bahru,45_to_49,1790.0,2018
Kebun Bahru,Kebun Bahru,50_to_54,1710.0,2018
Kebun Bahru,Kebun Bahru,55_to_59,1800.0,2018
Kebun Bahru,Kebun Bahru,60_to_64,1750.0,2018
Kebun Bahru,Kebun Bahru,65_to_69,1690.0,2018
Kebun Bahru,Kebun Bahru,70_to_74,1430.0,2018
Kebun Bahru,Kebun Bahru,75_to_79,840.0,2018
Kebun Bahru,Kebun Bahru,80_to_84,620.0,2018
Kebun Bahru,Kebun Bahru,85_and_over,500.0,2018
Sembawang Hills,Sembawang Hills,0_to_4,210.0,2018
Sembawang Hills,Sembawang Hills,5_to_9,310.0,2018
Sembawang Hills,Sembawang Hills,10_to_14,400.0,2018
Sembawang Hills,Sembawang Hills,15_to_19,460.0,2018
Sembawang Hills,Sembawang Hills,20_to_24,500.0,2018
Sembawang Hills,Sembawang Hills,25_to_29,500.0,2018
Sembawang Hills,Sembawang Hills,30_to_34,350.0,2018
Sembawang Hills,Sembawang Hills,35_to_39,310.0,2018
Sembawang Hills,Sembawang Hills,40_to_44,370.0,2018
Sembawang Hills,Sembawang Hills,45_to_49,550.0,2018
Sembawang Hills,Sembawang Hills,50_to_54,540.0,2018
Sembawang Hills,Sembawang Hills,55_to_59,550.0,2018
Sembawang Hills,Sembawang Hills,60_to_64,480.0,2018
Sembawang Hills,Sembawang Hills,65_to_69,410.0,2018
Sembawang Hills,Sembawang Hills,70_to_74,370.0,2018
Sembawang Hills,Sembawang Hills,75_to_79,230.0,2018
Sembawang Hills,Sembawang Hills,80_to_84,150.0,2018
Sembawang Hills,Sembawang Hills,85_and_over,160.0,2018
Shangri-La,Shangri-La,0_to_4,550.0,2018
Shangri-La,Shangri-La,5_to_9,560.0,2018
Shangri-La,Shangri-La,10_to_14,640.0,2018
Shangri-La,Shangri-La,15_to_19,710.0,2018
Shangri-La,Shangri-La,20_to_24,860.0,2018
Shangri-La,Shangri-La,25_to_29,980.0,2018
Shangri-La,Shangri-La,30_to_34,1020.0,2018
Shangri-La,Shangri-La,35_to_39,990.0,2018
Shangri-La,Shangri-La,40_to_44,1010.0,2018
Shangri-La,Shangri-La,45_to_49,1210.0,2018
Shangri-La,Shangri-La,50_to_54,1200.0,2018
Shangri-La,Shangri-La,55_to_59,1390.0,2018
Shangri-La,Shangri-La,60_to_64,1270.0,2018
Shangri-La,Shangri-La,65_to_69,1180.0,2018
Shangri-La,Shangri-La,70_to_74,960.0,2018
Shangri-La,Shangri-La,75_to_79,620.0,2018
Shangri-La,Shangri-La,80_to_84,430.0,2018
Shangri-La,Shangri-La,85_and_over,380.0,2018
Tagore,Tagore,0_to_4,210.0,2018
Tagore,Tagore,5_to_9,310.0,2018
Tagore,Tagore,10_to_14,400.0,2018
Tagore,Tagore,15_to_19,450.0,2018
Tagore,Tagore,20_to_24,580.0,2018
Tagore,Tagore,25_to_29,670.0,2018
Tagore,Tagore,30_to_34,490.0,2018
Tagore,Tagore,35_to_39,340.0,2018
Tagore,Tagore,40_to_44,440.0,2018
Tagore,Tagore,45_to_49,580.0,2018
Tagore,Tagore,50_to_54,580.0,2018
Tagore,Tagore,55_to_59,670.0,2018
Tagore,Tagore,60_to_64,730.0,2018
Tagore,Tagore,65_to_69,550.0,2018
Tagore,Tagore,70_to_74,380.0,2018
Tagore,Tagore,75_to_79,210.0,2018
Tagore,Tagore,80_to_84,190.0,2018
Tagore,Tagore,85_and_over,180.0,2018
Townsville,Townsville,0_to_4,660.0,2018
Townsville,Townsville,5_to_9,860.0,2018
Townsville,Townsville,10_to_14,930.0,2018
Townsville,Townsville,15_to_19,820.0,2018
Townsville,Townsville,20_to_24,890.0,2018
Townsville,Townsville,25_to_29,1310.0,2018
Townsville,Townsville,30_to_34,1400.0,2018
Townsville,Townsville,35_to_39,1410.0,2018
Townsville,Townsville,40_to_44,1650.0,2018
Townsville,Townsville,45_to_49,1560.0,2018
Townsville,Townsville,50_to_54,1360.0,2018
Townsville,Townsville,55_to_59,1580.0,2018
Townsville,Townsville,60_to_64,1660.0,2018
Townsville,Townsville,65_to_69,1530.0,2018
Townsville,Townsville,70_to_74,1420.0,2018
Townsville,Townsville,75_to_79,880.0,2018
Townsville,Townsville,80_to_84,680.0,2018
Townsville,Townsville,85_and_over,550.0,2018
Yio Chu Kang,Yio Chu Kang,0_to_4,0.0,2018
Yio Chu Kang,Yio Chu Kang,5_to_9,0.0,2018
Yio Chu Kang,Yio Chu Kang,10_to_14,0.0,2018
Yio Chu Kang,Yio Chu Kang,15_to_19,0.0,2018
Yio Chu Kang,Yio Chu Kang,20_to_24,0.0,2018
Yio Chu Kang,Yio Chu Kang,25_to_29,0.0,2018
Yio Chu Kang,Yio Chu Kang,30_to_34,0.0,2018
Yio Chu Kang,Yio Chu Kang,35_to_39,0.0,2018
Yio Chu Kang,Yio Chu Kang,40_to_44,0.0,2018
Yio Chu Kang,Yio Chu Kang,45_to_49,0.0,2018
Yio Chu Kang,Yio Chu Kang,50_to_54,0.0,2018
Yio Chu Kang,Yio Chu Kang,55_to_59,0.0,2018
Yio Chu Kang,Yio Chu Kang,60_to_64,0.0,2018
Yio Chu Kang,Yio Chu Kang,65_to_69,0.0,2018
Yio Chu Kang,Yio Chu Kang,70_to_74,0.0,2018
Yio Chu Kang,Yio Chu Kang,75_to_79,0.0,2018
Yio Chu Kang,Yio Chu Kang,80_to_84,0.0,2018
Yio Chu Kang,Yio Chu Kang,85_and_over,0.0,2018
Yio Chu Kang East,Yio Chu Kang East,0_to_4,160.0,2018
Yio Chu Kang East,Yio Chu Kang East,5_to_9,170.0,2018
Yio Chu Kang East,Yio Chu Kang East,10_to_14,200.0,2018
Yio Chu Kang East,Yio Chu Kang East,15_to_19,260.0,2018
Yio Chu Kang East,Yio Chu Kang East,20_to_24,310.0,2018
Yio Chu Kang East,Yio Chu Kang East,25_to_29,320.0,2018
Yio Chu Kang East,Yio Chu Kang East,30_to_34,230.0,2018
Yio Chu Kang East,Yio Chu Kang East,35_to_39,240.0,2018
Yio Chu Kang East,Yio Chu Kang East,40_to_44,260.0,2018
Yio Chu Kang East,Yio Chu Kang East,45_to_49,320.0,2018
Yio Chu Kang East,Yio Chu Kang East,50_to_54,290.0,2018
Yio Chu Kang East,Yio Chu Kang East,55_to_59,330.0,2018
Yio Chu Kang East,Yio Chu Kang East,60_to_64,380.0,2018
Yio Chu Kang East,Yio Chu Kang East,65_to_69,260.0,2018
Yio Chu Kang East,Yio Chu Kang East,70_to_74,200.0,2018
Yio Chu Kang East,Yio Chu Kang East,75_to_79,110.0,2018
Yio Chu Kang East,Yio Chu Kang East,80_to_84,80.0,2018
Yio Chu Kang East,Yio Chu Kang East,85_and_over,70.0,2018
Yio Chu Kang North,Yio Chu Kang North,0_to_4,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,5_to_9,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,10_to_14,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,15_to_19,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,20_to_24,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,25_to_29,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,30_to_34,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,35_to_39,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,40_to_44,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,45_to_49,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,50_to_54,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,55_to_59,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,60_to_64,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,65_to_69,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,70_to_74,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,75_to_79,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,80_to_84,0.0,2018
Yio Chu Kang North,Yio Chu Kang North,85_and_over,0.0,2018
Yio Chu Kang West,Yio Chu Kang West,0_to_4,750.0,2018
Yio Chu Kang West,Yio Chu Kang West,5_to_9,950.0,2018
Yio Chu Kang West,Yio Chu Kang West,10_to_14,1190.0,2018
Yio Chu Kang West,Yio Chu Kang West,15_to_19,1350.0,2018
Yio Chu Kang West,Yio Chu Kang West,20_to_24,1460.0,2018
Yio Chu Kang West,Yio Chu Kang West,25_to_29,1540.0,2018
Yio Chu Kang West,Yio Chu Kang West,30_to_34,1400.0,2018
Yio Chu Kang West,Yio Chu Kang West,35_to_39,1480.0,2018
Yio Chu Kang West,Yio Chu Kang West,40_to_44,1720.0,2018
Yio Chu Kang West,Yio Chu Kang West,45_to_49,1910.0,2018
Yio Chu Kang West,Yio Chu Kang West,50_to_54,1850.0,2018
Yio Chu Kang West,Yio Chu Kang West,55_to_59,1950.0,2018
Yio Chu Kang West,Yio Chu Kang West,60_to_64,1910.0,2018
Yio Chu Kang West,Yio Chu Kang West,65_to_69,1820.0,2018
Yio Chu Kang West,Yio Chu Kang West,70_to_74,1400.0,2018
Yio Chu Kang West,Yio Chu Kang West,75_to_79,640.0,2018
Yio Chu Kang West,Yio Chu Kang West,80_to_84,480.0,2018
Yio Chu Kang West,Yio Chu Kang West,85_and_over,360.0,2018
Bayshore,Bayshore,0_to_4,340.0,2018
Bayshore,Bayshore,5_to_9,490.0,2018
Bayshore,Bayshore,10_to_14,480.0,2018
Bayshore,Bayshore,15_to_19,450.0,2018
Bayshore,Bayshore,20_to_24,360.0,2018
Bayshore,Bayshore,25_to_29,310.0,2018
Bayshore,Bayshore,30_to_34,360.0,2018
Bayshore,Bayshore,35_to_39,550.0,2018
Bayshore,Bayshore,40_to_44,770.0,2018
Bayshore,Bayshore,45_to_49,860.0,2018
Bayshore,Bayshore,50_to_54,650.0,2018
Bayshore,Bayshore,55_to_59,510.0,2018
Bayshore,Bayshore,60_to_64,400.0,2018
Bayshore,Bayshore,65_to_69,350.0,2018
Bayshore,Bayshore,70_to_74,280.0,2018
Bayshore,Bayshore,75_to_79,130.0,2018
Bayshore,Bayshore,80_to_84,90.0,2018
Bayshore,Bayshore,85_and_over,90.0,2018
Bedok North,Bedok North,0_to_4,2710.0,2018
Bedok North,Bedok North,5_to_9,3080.0,2018
Bedok North,Bedok North,10_to_14,3440.0,2018
Bedok North,Bedok North,15_to_19,4000.0,2018
Bedok North,Bedok North,20_to_24,4760.0,2018
Bedok North,Bedok North,25_to_29,5620.0,2018
Bedok North,Bedok North,30_to_34,5280.0,2018
Bedok North,Bedok North,35_to_39,5100.0,2018
Bedok North,Bedok North,40_to_44,5670.0,2018
Bedok North,Bedok North,45_to_49,5960.0,2018
Bedok North,Bedok North,50_to_54,6030.0,2018
Bedok North,Bedok North,55_to_59,6950.0,2018
Bedok North,Bedok North,60_to_64,6560.0,2018
Bedok North,Bedok North,65_to_69,5980.0,2018
Bedok North,Bedok North,70_to_74,4920.0,2018
Bedok North,Bedok North,75_to_79,2550.0,2018
Bedok North,Bedok North,80_to_84,1740.0,2018
Bedok North,Bedok North,85_and_over,1510.0,2018
Bedok Reservoir,Bedok Reservoir,0_to_4,1100.0,2018
Bedok Reservoir,Bedok Reservoir,5_to_9,1270.0,2018
Bedok Reservoir,Bedok Reservoir,10_to_14,1400.0,2018
Bedok Reservoir,Bedok Reservoir,15_to_19,1510.0,2018
Bedok Reservoir,Bedok Reservoir,20_to_24,1490.0,2018
Bedok Reservoir,Bedok Reservoir,25_to_29,1600.0,2018
Bedok Reservoir,Bedok Reservoir,30_to_34,1830.0,2018
Bedok Reservoir,Bedok Reservoir,35_to_39,1900.0,2018
Bedok Reservoir,Bedok Reservoir,40_to_44,2090.0,2018
Bedok Reservoir,Bedok Reservoir,45_to_49,2110.0,2018
Bedok Reservoir,Bedok Reservoir,50_to_54,1920.0,2018
Bedok Reservoir,Bedok Reservoir,55_to_59,1840.0,2018
Bedok Reservoir,Bedok Reservoir,60_to_64,1800.0,2018
Bedok Reservoir,Bedok Reservoir,65_to_69,1550.0,2018
Bedok Reservoir,Bedok Reservoir,70_to_74,1050.0,2018
Bedok Reservoir,Bedok Reservoir,75_to_79,470.0,2018
Bedok Reservoir,Bedok Reservoir,80_to_84,310.0,2018
Bedok Reservoir,Bedok Reservoir,85_and_over,240.0,2018
Bedok South,Bedok South,0_to_4,1430.0,2018
Bedok South,Bedok South,5_to_9,1730.0,2018
Bedok South,Bedok South,10_to_14,2120.0,2018
Bedok South,Bedok South,15_to_19,2300.0,2018
Bedok South,Bedok South,20_to_24,2740.0,2018
Bedok South,Bedok South,25_to_29,3130.0,2018
Bedok South,Bedok South,30_to_34,2920.0,2018
Bedok South,Bedok South,35_to_39,2700.0,2018
Bedok South,Bedok South,40_to_44,3050.0,2018
Bedok South,Bedok South,45_to_49,3490.0,2018
Bedok South,Bedok South,50_to_54,3430.0,2018
Bedok South,Bedok South,55_to_59,3730.0,2018
Bedok South,Bedok South,60_to_64,3740.0,2018
Bedok South,Bedok South,65_to_69,3360.0,2018
Bedok South,Bedok South,70_to_74,2820.0,2018
Bedok South,Bedok South,75_to_79,1650.0,2018
Bedok South,Bedok South,80_to_84,1230.0,2018
Bedok South,Bedok South,85_and_over,1130.0,2018
Frankel,Frankel,0_to_4,1460.0,2018
Frankel,Frankel,5_to_9,2060.0,2018
Frankel,Frankel,10_to_14,2060.0,2018
Frankel,Frankel,15_to_19,1810.0,2018
Frankel,Frankel,20_to_24,1820.0,2018
Frankel,Frankel,25_to_29,2050.0,2018
Frankel,Frankel,30_to_34,2000.0,2018
Frankel,Frankel,35_to_39,2360.0,2018
Frankel,Frankel,40_to_44,2950.0,2018
Frankel,Frankel,45_to_49,3180.0,2018
Frankel,Frankel,50_to_54,2510.0,2018
Frankel,Frankel,55_to_59,2280.0,2018
Frankel,Frankel,60_to_64,2110.0,2018
Frankel,Frankel,65_to_69,1880.0,2018
Frankel,Frankel,70_to_74,1610.0,2018
Frankel,Frankel,75_to_79,840.0,2018
Frankel,Frankel,80_to_84,750.0,2018
Frankel,Frankel,85_and_over,760.0,2018
Kaki Bukit,Kaki Bukit,0_to_4,1200.0,2018
Kaki Bukit,Kaki Bukit,5_to_9,1250.0,2018
Kaki Bukit,Kaki Bukit,10_to_14,1580.0,2018
Kaki Bukit,Kaki Bukit,15_to_19,1930.0,2018
Kaki Bukit,Kaki Bukit,20_to_24,2510.0,2018
Kaki Bukit,Kaki Bukit,25_to_29,3140.0,2018
Kaki Bukit,Kaki Bukit,30_to_34,2830.0,2018
Kaki Bukit,Kaki Bukit,35_to_39,2280.0,2018
Kaki Bukit,Kaki Bukit,40_to_44,2260.0,2018
Kaki Bukit,Kaki Bukit,45_to_49,2460.0,2018
Kaki Bukit,Kaki Bukit,50_to_54,2450.0,2018
Kaki Bukit,Kaki Bukit,55_to_59,3240.0,2018
Kaki Bukit,Kaki Bukit,60_to_64,3510.0,2018
Kaki Bukit,Kaki Bukit,65_to_69,2740.0,2018
Kaki Bukit,Kaki Bukit,70_to_74,1930.0,2018
Kaki Bukit,Kaki Bukit,75_to_79,820.0,2018
Kaki Bukit,Kaki Bukit,80_to_84,580.0,2018
Kaki Bukit,Kaki Bukit,85_and_over,450.0,2018
Kembangan,Kembangan,0_to_4,1410.0,2018
Kembangan,Kembangan,5_to_9,1360.0,2018
Kembangan,Kembangan,10_to_14,1480.0,2018
Kembangan,Kembangan,15_to_19,1780.0,2018
Kembangan,Kembangan,20_to_24,2020.0,2018
Kembangan,Kembangan,25_to_29,2620.0,2018
Kembangan,Kembangan,30_to_34,2790.0,2018
Kembangan,Kembangan,35_to_39,2520.0,2018
Kembangan,Kembangan,40_to_44,2290.0,2018
Kembangan,Kembangan,45_to_49,2520.0,2018
Kembangan,Kembangan,50_to_54,2620.0,2018
Kembangan,Kembangan,55_to_59,2940.0,2018
Kembangan,Kembangan,60_to_64,3240.0,2018
Kembangan,Kembangan,65_to_69,2750.0,2018
Kembangan,Kembangan,70_to_74,2140.0,2018
Kembangan,Kembangan,75_to_79,1250.0,2018
Kembangan,Kembangan,80_to_84,860.0,2018
Kembangan,Kembangan,85_and_over,880.0,2018
Siglap,Siglap,0_to_4,160.0,2018
Siglap,Siglap,5_to_9,250.0,2018
Siglap,Siglap,10_to_14,260.0,2018
Siglap,Siglap,15_to_19,310.0,2018
Siglap,Siglap,20_to_24,360.0,2018
Siglap,Siglap,25_to_29,400.0,2018
Siglap,Siglap,30_to_34,360.0,2018
Siglap,Siglap,35_to_39,320.0,2018
Siglap,Siglap,40_to_44,430.0,2018
Siglap,Siglap,45_to_49,520.0,2018
Siglap,Siglap,50_to_54,450.0,2018
Siglap,Siglap,55_to_59,460.0,2018
Siglap,Siglap,60_to_64,500.0,2018
Siglap,Siglap,65_to_69,430.0,2018
Siglap,Siglap,70_to_74,480.0,2018
Siglap,Siglap,75_to_79,310.0,2018
Siglap,Siglap,80_to_84,250.0,2018
Siglap,Siglap,85_and_over,210.0,2018
Bishan East,Bishan East,0_to_4,870.0,2018
Bishan East,Bishan East,5_to_9,1130.0,2018
Bishan East,Bishan East,10_to_14,1300.0,2018
Bishan East,Bishan East,15_to_19,1380.0,2018
Bishan East,Bishan East,20_to_24,1470.0,2018
Bishan East,Bishan East,25_to_29,2280.0,2018
Bishan East,Bishan East,30_to_34,2150.0,2018
Bishan East,Bishan East,35_to_39,1730.0,2018
Bishan East,Bishan East,40_to_44,1890.0,2018
Bishan East,Bishan East,45_to_49,2160.0,2018
Bishan East,Bishan East,50_to_54,1880.0,2018
Bishan East,Bishan East,55_to_59,2110.0,2018
Bishan East,Bishan East,60_to_64,2420.0,2018
Bishan East,Bishan East,65_to_69,2090.0,2018
Bishan East,Bishan East,70_to_74,1560.0,2018
Bishan East,Bishan East,75_to_79,820.0,2018
Bishan East,Bishan East,80_to_84,590.0,2018
Bishan East,Bishan East,85_and_over,470.0,2018
Marymount,Marymount,0_to_4,1010.0,2018
Marymount,Marymount,5_to_9,1340.0,2018
Marymount,Marymount,10_to_14,1540.0,2018
Marymount,Marymount,15_to_19,1680.0,2018
Marymount,Marymount,20_to_24,2030.0,2018
Marymount,Marymount,25_to_29,2630.0,2018
Marymount,Marymount,30_to_34,1840.0,2018
Marymount,Marymount,35_to_39,1770.0,2018
Marymount,Marymount,40_to_44,1950.0,2018
Marymount,Marymount,45_to_49,2240.0,2018
Marymount,Marymount,50_to_54,2190.0,2018
Marymount,Marymount,55_to_59,2530.0,2018
Marymount,Marymount,60_to_64,2360.0,2018
Marymount,Marymount,65_to_69,1790.0,2018
Marymount,Marymount,70_to_74,1250.0,2018
Marymount,Marymount,75_to_79,650.0,2018
Marymount,Marymount,80_to_84,450.0,2018
Marymount,Marymount,85_and_over,370.0,2018
Upper Thomson,Upper Thomson,0_to_4,910.0,2018
Upper Thomson,Upper Thomson,5_to_9,1260.0,2018
Upper Thomson,Upper Thomson,10_to_14,1450.0,2018
Upper Thomson,Upper Thomson,15_to_19,1560.0,2018
Upper Thomson,Upper Thomson,20_to_24,1740.0,2018
Upper Thomson,Upper Thomson,25_to_29,2010.0,2018
Upper Thomson,Upper Thomson,30_to_34,1740.0,2018
Upper Thomson,Upper Thomson,35_to_39,1590.0,2018
Upper Thomson,Upper Thomson,40_to_44,1910.0,2018
Upper Thomson,Upper Thomson,45_to_49,2330.0,2018
Upper Thomson,Upper Thomson,50_to_54,2230.0,2018
Upper Thomson,Upper Thomson,55_to_59,2310.0,2018
Upper Thomson,Upper Thomson,60_to_64,2350.0,2018
Upper Thomson,Upper Thomson,65_to_69,1960.0,2018
Upper Thomson,Upper Thomson,70_to_74,1580.0,2018
Upper Thomson,Upper Thomson,75_to_79,970.0,2018
Upper Thomson,Upper Thomson,80_to_84,720.0,2018
Upper Thomson,Upper Thomson,85_and_over,770.0,2018
Liu Fang,Liu Fang,0_to_4,0.0,2018
Liu Fang,Liu Fang,5_to_9,0.0,2018
Liu Fang,Liu Fang,10_to_14,0.0,2018
Liu Fang,Liu Fang,15_to_19,0.0,2018
Liu Fang,Liu Fang,20_to_24,0.0,2018
Liu Fang,Liu Fang,25_to_29,0.0,2018
Liu Fang,Liu Fang,30_to_34,0.0,2018
Liu Fang,Liu Fang,35_to_39,0.0,2018
Liu Fang,Liu Fang,40_to_44,0.0,2018
Liu Fang,Liu Fang,45_to_49,0.0,2018
Liu Fang,Liu Fang,50_to_54,0.0,2018
Liu Fang,Liu Fang,55_to_59,0.0,2018
Liu Fang,Liu Fang,60_to_64,0.0,2018
Liu Fang,Liu Fang,65_to_69,0.0,2018
Liu Fang,Liu Fang,70_to_74,0.0,2018
Liu Fang,Liu Fang,75_to_79,0.0,2018
Liu Fang,Liu Fang,80_to_84,0.0,2018
Liu Fang,Liu Fang,85_and_over,0.0,2018
Samulun,Samulun,0_to_4,0.0,2018
Samulun,Samulun,5_to_9,0.0,2018
Samulun,Samulun,10_to_14,0.0,2018
Samulun,Samulun,15_to_19,0.0,2018
Samulun,Samulun,20_to_24,0.0,2018
Samulun,Samulun,25_to_29,0.0,2018
Samulun,Samulun,30_to_34,0.0,2018
Samulun,Samulun,35_to_39,0.0,2018
Samulun,Samulun,40_to_44,0.0,2018
Samulun,Samulun,45_to_49,0.0,2018
Samulun,Samulun,50_to_54,0.0,2018
Samulun,Samulun,55_to_59,0.0,2018
Samulun,Samulun,60_to_64,0.0,2018
Samulun,Samulun,65_to_69,0.0,2018
Samulun,Samulun,70_to_74,0.0,2018
Samulun,Samulun,75_to_79,0.0,2018
Samulun,Samulun,80_to_84,0.0,2018
Samulun,Samulun,85_and_over,0.0,2018
Shipyard,Shipyard,0_to_4,0.0,2018
Shipyard,Shipyard,5_to_9,0.0,2018
Shipyard,Shipyard,10_to_14,0.0,2018
Shipyard,Shipyard,15_to_19,0.0,2018
Shipyard,Shipyard,20_to_24,0.0,2018
Shipyard,Shipyard,25_to_29,0.0,2018
Shipyard,Shipyard,30_to_34,0.0,2018
Shipyard,Shipyard,35_to_39,0.0,2018
Shipyard,Shipyard,40_to_44,0.0,2018
Shipyard,Shipyard,45_to_49,0.0,2018
Shipyard,Shipyard,50_to_54,0.0,2018
Shipyard,Shipyard,55_to_59,0.0,2018
Shipyard,Shipyard,60_to_64,0.0,2018
Shipyard,Shipyard,65_to_69,0.0,2018
Shipyard,Shipyard,70_to_74,0.0,2018
Shipyard,Shipyard,75_to_79,0.0,2018
Shipyard,Shipyard,80_to_84,0.0,2018
Shipyard,Shipyard,85_and_over,0.0,2018
Tukang,Tukang,0_to_4,0.0,2018
Tukang,Tukang,5_to_9,0.0,2018
Tukang,Tukang,10_to_14,0.0,2018
Tukang,Tukang,15_to_19,0.0,2018
Tukang,Tukang,20_to_24,0.0,2018
Tukang,Tukang,25_to_29,0.0,2018
Tukang,Tukang,30_to_34,0.0,2018
Tukang,Tukang,35_to_39,0.0,2018
Tukang,Tukang,40_to_44,0.0,2018
Tukang,Tukang,45_to_49,0.0,2018
Tukang,Tukang,50_to_54,0.0,2018
Tukang,Tukang,55_to_59,0.0,2018
Tukang,Tukang,60_to_64,0.0,2018
